Year,Month,Day,NorESM1-M
2038,10,22,2.37
2038,10,23,2.36
2038,10,24,2.33
2038,10,25,3.15
2038,10,26,2.52
2038,10,27,2.31
2038,10,28,28.66
2038,10,29,51.92
2038,10,30,27.46
2038,10,31,10.87
2038,11,1,5.70
2038,11,2,10.79
2038,11,3,90.22
2038,11,4,62.36
2038,11,5,25.89
2038,11,6,12.30
2038,11,7,7.86
2038,11,8,6.50
2038,11,9,6.05
2038,11,10,5.87
2038,11,11,5.85
2038,11,12,5.74
2038,11,13,5.61
2038,11,14,5.52
2038,11,15,5.43
2038,11,16,5.33
2038,11,17,5.24
2038,11,18,5.13
2038,11,19,5.06
2038,11,20,4.99
2038,11,21,4.91
2038,11,22,4.82
2038,11,23,17.62
2038,11,24,257.49
2038,11,25,435.88
2038,11,26,464.74
2038,11,27,398.89
2038,11,28,294.58
2038,11,29,222.55
2038,11,30,258.53
2038,12,1,163.30
2038,12,2,86.44
2038,12,3,53.97
2038,12,4,42.47
2038,12,5,38.59
2038,12,6,37.07
2038,12,7,36.22
2038,12,8,35.98
2038,12,9,82.72
2038,12,10,52.44
2038,12,11,40.21
2038,12,12,35.83
2038,12,13,34.18
2038,12,14,33.33
2038,12,15,32.71
2038,12,16,32.13
2038,12,17,51.95
2038,12,18,60.41
2038,12,19,38.94
2038,12,20,33.15
2038,12,21,31.03
2038,12,22,104.06
2038,12,23,61.44
2038,12,24,138.43
2038,12,25,183.14
2038,12,26,143.09
2038,12,27,88.91
2038,12,28,54.67
2038,12,29,41.11
2038,12,30,36.26
2038,12,31,34.40
2039,1,1,218.28
2039,1,2,210.36
2039,1,3,104.68
2039,1,4,58.56
2039,1,5,147.86
2039,1,6,192.99
2039,1,7,108.08
2039,1,8,63.38
2039,1,9,101.49
2039,1,10,63.01
2039,1,11,47.80
2039,1,12,42.34
2039,1,13,80.72
2039,1,14,53.40
2039,1,15,60.78
2039,1,16,44.93
2039,1,17,39.98
2039,1,18,38.21
2039,1,19,37.32
2039,1,20,36.64
2039,1,21,36.02
2039,1,22,35.42
2039,1,23,34.82
2039,1,24,34.23
2039,1,25,33.66
2039,1,26,33.10
2039,1,27,32.53
2039,1,28,34.40
2039,1,29,31.74
2039,1,30,31.03
2039,1,31,30.48
2039,2,1,29.97
2039,2,2,29.45
2039,2,3,56.83
2039,2,4,34.60
2039,2,5,29.78
2039,2,6,28.34
2039,2,7,27.68
2039,2,8,27.17
2039,2,9,26.69
2039,2,10,26.24
2039,2,11,25.81
2039,2,12,25.36
2039,2,13,97.25
2039,2,14,210.25
2039,2,15,308.98
2039,2,16,285.51
2039,2,17,158.84
2039,2,18,80.87
2039,2,19,54.59
2039,2,20,50.17
2039,2,21,39.95
2039,2,22,36.74
2039,2,23,69.46
2039,2,24,111.12
2039,2,25,117.80
2039,2,26,98.10
2039,2,27,66.76
2039,2,28,101.09
2039,3,1,77.70
2039,3,2,49.23
2039,3,3,95.86
2039,3,4,103.64
2039,3,5,147.88
2039,3,6,187.58
2039,3,7,207.25
2039,3,8,169.63
2039,3,9,240.34
2039,3,10,222.34
2039,3,11,122.54
2039,3,12,72.50
2039,3,13,55.23
2039,3,14,49.48
2039,3,15,54.16
2039,3,16,48.67
2039,3,17,202.04
2039,3,18,194.03
2039,3,19,103.38
2039,3,20,66.09
2039,3,21,53.26
2039,3,22,48.91
2039,3,23,56.38
2039,3,24,55.45
2039,3,25,53.11
2039,3,26,68.96
2039,3,27,114.46
2039,3,28,88.46
2039,3,29,100.93
2039,3,30,82.32
2039,3,31,63.49
2039,4,1,51.31
2039,4,2,45.97
2039,4,3,43.71
2039,4,4,42.53
2039,4,5,41.62
2039,4,6,40.87
2039,4,7,41.52
2039,4,8,40.47
2039,4,9,39.29
2039,4,10,38.34
2039,4,11,137.75
