Year,Month,Day,HadGEM2-ES
1982,6,1,21.97
1982,6,2,21.56
1982,6,3,21.18
1982,6,4,20.82
1982,6,5,20.43
1982,6,6,20.05
1982,6,7,19.74
1982,6,8,19.42
1982,6,9,19.07
1982,6,10,18.68
1982,6,11,18.31
1982,6,12,17.91
1982,6,13,17.62
1982,6,14,17.35
1982,6,15,17.08
1982,6,16,16.85
1982,6,17,16.61
1982,6,18,16.35
1982,6,19,16.08
1982,6,20,15.77
1982,6,21,15.50
1982,6,22,15.22
1982,6,23,14.94
1982,6,24,14.68
1982,6,25,14.42
1982,6,26,14.17
1982,6,27,13.93
1982,6,28,13.59
1982,6,29,13.34
1982,6,30,13.17
1982,7,1,13.00
1982,7,2,12.76
1982,7,3,12.52
1982,7,4,12.30
1982,7,5,12.11
1982,7,6,11.95
1982,7,7,11.74
1982,7,8,11.52
1982,7,9,11.30
1982,7,10,11.07
1982,7,11,10.90
1982,7,12,13.40
1982,7,13,12.66
1982,7,14,11.90
1982,7,15,10.98
1982,7,16,10.41
1982,7,17,10.05
1982,7,18,9.83
1982,7,19,9.63
1982,7,20,9.43
1982,7,21,9.26
1982,7,22,9.07
1982,7,23,8.91
1982,7,24,8.79
1982,7,25,8.65
1982,7,26,8.49
1982,7,27,8.30
1982,7,28,11.56
1982,7,29,21.73
1982,7,30,17.18
1982,7,31,12.03
1982,8,1,9.42
1982,8,2,10.34
1982,8,3,20.03
1982,8,4,21.12
1982,8,5,28.00
1982,8,6,23.92
1982,8,7,15.30
1982,8,8,16.36
1982,8,9,16.67
1982,8,10,12.62
1982,8,11,9.87
1982,8,12,8.67
1982,8,13,8.19
1982,8,14,7.94
1982,8,15,7.74
1982,8,16,7.57
1982,8,17,7.42
1982,8,18,7.26
1982,8,19,7.12
1982,8,20,7.03
1982,8,21,6.97
1982,8,22,6.91
1982,8,23,6.83
1982,8,24,6.72
1982,8,25,6.58
1982,8,26,6.41
1982,8,27,6.27
1982,8,28,6.19
1982,8,29,6.13
1982,8,30,6.05
1982,8,31,5.94
1982,9,1,5.84
1982,9,2,5.76
1982,9,3,5.67
1982,9,4,5.56
1982,9,5,5.44
1982,9,6,5.33
1982,9,7,5.24
1982,9,8,5.14
1982,9,9,5.06
1982,9,10,4.95
1982,9,11,4.85
1982,9,12,4.79
1982,9,13,4.74
1982,9,14,4.59
1982,9,15,4.48
1982,9,16,4.39
1982,9,17,62.07
1982,9,18,78.46
1982,9,19,39.19
1982,9,20,18.32
1982,9,21,10.40
1982,9,22,7.79
1982,9,23,11.03
1982,9,24,9.46
1982,9,25,7.79
1982,9,26,6.91
1982,9,27,6.51
1982,9,28,68.66
1982,9,29,242.32
1982,9,30,225.64
1982,10,1,110.11
1982,10,2,44.65
1982,10,3,23.73
1982,10,4,17.52
1982,10,5,15.72
1982,10,6,15.09
1982,10,7,14.74
1982,10,8,14.50
1982,10,9,14.26
1982,10,10,13.97
1982,10,11,13.69
1982,10,12,13.49
1982,10,13,13.32
1982,10,14,13.12
1982,10,15,12.90
1982,10,16,12.65
1982,10,17,12.40
1982,10,18,12.21
1982,10,19,12.04
1982,10,20,11.85
1982,10,21,11.64
1982,10,22,11.43
1982,10,23,11.22
1982,10,24,11.04
1982,10,25,10.84
1982,10,26,10.64
1982,10,27,10.47
1982,10,28,10.31
1982,10,29,10.16
1982,10,30,10.00
1982,10,31,9.84
1982,11,1,9.67
1982,11,2,9.49
1982,11,3,9.32
1982,11,4,9.12
1982,11,5,8.99
1982,11,6,8.87
1982,11,7,8.74
1982,11,8,9.01
1982,11,9,11.86
1982,11,10,11.63
